Reaction,ReactionName,Flux
LIPAHTex,"Lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)",0
LIPACabcpp,"Lipid (cold) A transport via ABC system (periplasm)",0
ECAP1pp,"Enterobacterial common antigen polymerase (periplasm)",0
PTRCtex,"Putrescine transport via diffusion (extracellular to periplasm)",0
UDCPDPpp,"Undecaprenyl-diphosphatase (periplasm)",0
EX_mso3_e,"Methanesulfonate exchange",0
EX_23camp_e,"2',3'-Cyclic AMP exchange",0
EX_23cgmp_e,"2',3'-Cyclic GMP exchange",0
EX_23cump_e,"2',3'-Cyclic UMP exchange",0
ECAP2pp,"Enterobacterial common antigen polymerase (periplasm)",0
FE3Ri,"Fe(III) reduction",0
FE3HOXR3,"Fe(III)hydroxamate reductase",0
FEENTERR1,"Fe-enterobactin reduction (Fe(III)-unloading)",0
NODOy,"Nitric oxide dioxygenase",0
PYRtex,"Pyruvate transport via diffusion (extracellular to periplasm)",0
GALM2pp,"Aldose-1-epimerase",0
CU1abcpp,"Copper (Cu +1) ABC transporter (periplasm)",0
HG2abcpp,"Mercury (Hg+2) ABC transporter (periplasm)",0
FEENTERR3,"Fe-enterobactin reduction (Fe(III)-unloading)",0
SULFACtex,"Sulfoaceate transport via diffusion (extracellular to periplasm)",0
EX_sulfac_e,"Sulfoacetate exchange",0
EX_butso3_e,"Butanesulfonate exchange",0
EX_ethso3_e,"Ethanesulfonate exchange",0
DSERtex,"D-serine transport via diffusion (extracellular to periplasm)",0
LA4NTpp,"4-amino-4-deoxy-L-arabinotransferase (LPS lipid A modification, periplasmic face of membrane))",0
NODOx,"Nitric oxide dioxygenase",0
SERtex,"L-serine transport via diffusion (extracellular to periplasm)",0
NOtex,"Nitric oxide transport via diffusion (extracellular to periplasm)",0
NOtpp,"NO transport (diffusion)",0
NHFRBO,"NADH:flavorubredoxin oxidoreductase",0
N2Otpp,"Nitrious oxide transport (diffusion)",0
N2Otex,"Nitrious oxide transport via diffusion (extracellular to periplasm)",0
CRNt8pp,"L-carnitine/D-carnitine antiporter (periplasm)",0
CRNt2rpp,"L-carnitine outward transport (H+ antiport)",0
CRNDt2rpp,"D-carnitine outward transport (H+ antiport)",0
CTBTt2rpp,"Cronobetaine outward transport (H+ antiport)",0
PACALDt2rpp,"Phenylacetaldehyde reversible transport via proton symport (periplasm)",0
PEAMNtex,"Phenethylamine transport via diffusion (extracellular to periplasm)",0
PACALDtex,"Phenethylacetaldehyde transport via diffusion (extracellular to periplasm)",0
LIPOt2pp,"Lipoate transport via proton symport (periplasm)",0
AGM4PA,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase",0
RNDR3b,"Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin)",0
RNDR4b,"Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin)",0
ACGAL1Ptex,"N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm)",0
ACGALtex,"N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm)",0
GLCUR1Ptex,"D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm)",0
UDPGLCURtex,"UDP-D-glucuronate transport via diffusion (extracellular to periplasm)",0
UDPGALPpp,"UDPgalactose pyrophosphohydrolase",0
UACGAMPpp,"UDP-N-acetyl-D-glucosamine pyrophosphohydrolase (periplasm)",0
UACGALPpp,"UDP-N-acetyl-D-galactosamine pyrophosphohydrolase (periplasm)",0
UGLCURPpp,"UDP-D-glucuronate pyrophosphohydrolase (periplasm)",0
FEROpp,"Ferroxidase",0
ISETACabcpp,"Isethionate transport via ABC system (periplasm)",0
ISETACtex,"Isethionate transport via diffusion (extracellular to periplasm)",0
GUR1PPpp,"Glucuronate 1-phosphate phosphatase (periplasm)",0
UDPGtex,"UDPglucose transport via diffusion (extracellular to periplasm)",0
ACGAL1PPpp,"N-acetyl-D-galactosamine 1-phosphatase (periplasm)",0
UDPGALtex,"UDPgalactose transport via diffusion (extracellular to periplasm)",0
ACGAM1Ptex,"N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm)",0
UACGAMtex,"UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm)",0
UDPACGALtex,"UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm)",0
AM4PCP,"Anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",0
AM3PA,"Anhydrous-N-Acetylmuramyl-tripeptide amidase",0
UM4PCP,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine L,D-carboxypeptidase",0
CBLAT,"Cob(I)alamin adenosyltransferase",0
NTRIR4pp,"Nitrite Reductase (Menaquinole-8, periplasm)",0
NTRIR3pp,"Nitrite Reductase (Ubiquinole-8, periplasm)",0
INOSTt4pp,"Na+/myo-inositol symporter (periplasm)",0
PHEMEtiex,"Protoheme transport irreversible out via diffusion (periplasm to extracellular)",0
AGM3PA,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase",0
CYANtex,"Cyanide transport via diffusion (extracellular to periplasm)",0
SO3tex,"Sulfite transport via diffusion (extracellular to periplasm)",0
TCYNTtex,"Thiocyanate transport via diffusion (extracellular to periplasm)",0
ACANTHAT,"Acetyl-CoA:anthranilate acetyltransferase",0
METSOX2abcpp,"L-methionine R-oxide transport via ABC system (periplasm)",0
METSOX1tex,"L-methionine S-oxide diffusion (extracellular)",0
METSOX2tex,"L-methionine R-oxide diffusion (extracellular)",0
3UMPtex,"3UMP transport via diffusion (extracellular to periplasm)",0
MSO3abcpp,"Methanesulfonate transport via ABC system (periplasm)",0
MSO3tex,"Methanesulfonate transport via diffusion (extracellular to periplasm)",0
FECRMR1,"Ferrichrome reductase",0
FECRMR2,"Ferrichrome reductase",0
TDP,"Thiamin pyrophosphatase",0
3PEPTabcpp,"Tripeptide (LalaDgluMdap) transport via ABC system (periplasm)",0
4PEPTabcpp,"Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm)",0
3GMPtex,"3GMP transport via diffusion (extracellular to periplasm)",0
FALDtpp,"Formaldehyde transport via diffusion (periplasm)",0
EX_tym_e,"Tyramine exchange",0
AGM3Pt2pp,"GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm)",0
SO4tex,"Sulfate transport via diffusion (extracellular to periplasm)",0
AGM4Pt2pp,"GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm)",0
AGMt2pp,"GlcNAc-anhMurNAc transport in via proton symport (periplasm)",0
FECRMexs,"Ferrichrome Fe(III)-loading reaction (spontaneous)",0
ARBTNR1,"Aerobactin reductase",0
ARBTNR2,"Aerobactin reductase",0
METSOXR1,"L-methionine-S-oxide reductase",0
METSOXR2,"L-methionine-R-sulfoxide reductase",0
DAPAL,"2,3-diaminopropionate amonnia lyase",0
AMPTASECG,"Alanyl aminopeptidase (cys-gly)",0
EX_imp_e,"IMP exchange",0
DOPAtex,"Dopamine transport via diffusion (extracellular to periplasm)",0
4HOXPACDtex,"4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)",0
ARBTNR3,"Aerobactin reductase",0
ARBTNexs,"Aerobactin Fe-loading reaction (spontaneous)",0
FEOXAMexs,"Ferroxamine Fe3-loading reaction (spontaneous)",0
LACZpp,"B-galactosidase",0
SPMDtex,"Spermidine transport via diffusion (extracellular to periplasm)",0
GPDDA1pp,"Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)",0
GPDDA5pp,"Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol)",0
G3PStex,"Glycerophosphserine transport via diffusion (extracellular to periplasm)",0
FEOXAMR1,"Ferroxamine reductase",0
FEOXAMR2,"Ferroxamine reductase",0
FEOXAMR3,"Ferroxamine reductase",0
PTHRpp,"Phospho-L-threonine phosphatase (periplasmic)",0
FEENTERR2,"Fe-enterobactin reduction (Fe(III)-unloading)",0
FLVR,"Flavin reductase",0
SUCCtex,"Succinate transport via diffusion (extracellular to periplasm)",0
FE3HOXR1,"Fe(III)hydroxamate reductase",0
FEENTERexs,"Enterobactin Fe(III) binding (spontaneous)",0
SUCRtex,"Sucrose transport transport via diffusion (extracellular to periplasm)",0
FE3HOXexs,"Fe(III) hydroxamate Fe-loading reaction (spontaneaous)",0
FECRMR3,"Ferrichrome reductase",0
FDMO2,"FMNH2-dependent monooxygenase (methanesulfonate)",0
LALGP,"L-alanyl-gamma-L-glutamate peptidase",0
AGM4PApp,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm)",0
ARABDI,"L-fucose isomerase",0
AGt3,"Silver transport out via proton antiport",0
CD2t3pp,"Cadmium (Cd+2) transport out via proton antiport (periplasm)",0
ZNabcpp,"Zinc (Zn+2) transport via ABC system (periplasm)",0
SKMt2pp,"Shikimate transport in via proton symport (periplasm)",0
FE2t2pp,"Iron (II) transport in via proton symport (periplasm)",0
GLYC2Ptex,"Glycerol-2-phosphate transport via diffusion (extracellular to periplasm)",0
PSERtex,"Phospho-L-serine transport via diffusion (extracellular to periplasm)",0
TARTRtex,"Tartrate transport via diffusion (extracellular to periplasm)",0
R5Ptex,"Ribose 5-phosphate transport via diffusion (extracellular to periplasm)",0
THRPtex,"Phospho-L-threonine transport via diffusion (extracellular to periplasm)",0
TYRPtex,"Phopho-L-tyrosine transport via diffusion (extracellular to periplasm)",0
R5PPpp,"Ribose 5-phosphate phosphatase",0
PSP_Lpp,"Phospho-L-serine phosphatase (periplasmic)",0
TYRPpp,"Phospho-L-tyrosine phosphatase (periplasmic)",0
R1PK,"Ribose 1-phosphokinase",0
PAPSR2,"Phosphoadenylyl-sulfate reductase (glutaredoxin)",0
GRXR,"Glutaredoxin reductase",0
RNDR1b,"Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin)",0
R15BPK,"Ribose-1,5-bisphosphokinase",0
Kabcpp,"Potassium ABC transporter (periplasm)",0
RNDR2b,"Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin)",0
TAURtex,"Taurine transport via diffusion (extracellular to periplasm)",0
FACOAE181,"Fatty-acid-CoA thioesterase (octadecenoate)",0
FACOAE160,"Fatty-acid-CoA thioesterase (hexadecanoate)",0
FACOAE140,"Fatty-acid-CoA thioesterase (tetradecanoate)",0
LEUabcpp,"L-leucine transport via ABC system (periplasm)",0
L_LACt2rpp,"L-lactate reversible transport via proton symport (periplasm)",0
MALt2_2pp,"Malate transport via proton symport (2 H) (periplasm)",0
CPGNR1,"Coprogen(Fe(III)) reductase",0
CPGNR2,"Coprogen(Fe(III)) reductase",0
THRtex,"L-threonine transport via diffusion (extracellular to periplasm)",0
CPGNR3,"Coprogen(Fe(III)) reductase",0
CPGNUtpp,"Coprogen unloaded secretion",0
CPGNUtex,"Coprogen unloaded secretion (extracellular)",0
MALt2_3pp,"Malate transport via proton symport (3 H) (periplasm)",0
MALTabcpp,"Maltose transport via ABC system (periplasm)",0
MALTHXabcpp,"Maltohexaose transport via ABC system (periplasm)",0
MALTPTabcpp,"Maltopentaose transport via ABC system (periplasm)",0
AAMYL,"Alpha-amylase",0
AAMYLpp,"Alpha-amylase (periplasm)",0
MALTTRabcpp,"Maltotriose transport via ABC system (periplasm)",0
THMDtex,"Thymidine transport via diffusion (extracellular to periplasm)",0
MALTTTRabcpp,"Maltotetraose transport via ABC system (periplasm)",0
MAN6Pt6_2pp,"Mannose-6-phosphate transport via phosphate antiport (periplasm)",0
FACOAL80t2pp,"Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling)",0
PPGPPDP,"Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",0
CPGNabcpp,"Coprogen transport via ABC system (periplasm)",0
CPGNexs,"Coprogen Fe-loading reaction (spontaneaous)",0
MELIBt2pp,"Melibiose transport in via symport (periplasm)",0
CBIuabcpp,"Cobinamide transport via ABC system (uptake, periplasm)",0
METabcpp,"L-methionine transport via ABC system (periplasm)",0
CITtex,"Citrate transport via diffusion (extracellular to periplasm)",0
ACGAtex,"N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm)",0
GUACYC,"Guanylate cyclase",0
EX_fe3hox_un_e,"Fe(III)hydoxamate, unloaded exchange",0
EX_23dappa_e,"2,3-diaminopropionate exchange",0
RMNtpp,"L-rhamnose transport via proton symport (periplasm)",0
23PDE2pp,"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)",0
23PDE4pp,"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)",0
23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",0
SERt4pp,"L-serine via sodium symport (periplasm)",0
METDtex,"D-methionine transport via diffusion (extracellular to periplasm)",0
SUCCt2_3pp,"Succintate transport via proton symport (3 H) (periplasm)",0
MNLptspp,"Mannitol transport via PEP:Pyr PTS (periplasm)",0
NAt3_1p5pp,"Sodium proton antiporter (H:NA is 1.5) (periplasm)",0
ATPHs,"ATP amine hydrolysis (spontaneous)",0
SARCOX,"Sarcosine oxidase",0
GTPHs,"GTP amine hydrolysis (spontaneous)",0
MN6PP,"Mannose 6-phosphate phosphatase",0
NAt3_2pp,"Sodium proton antiporter (H:NA is 2) (periplasm)",0
NH4tpp,"Ammonia reversible transport (periplasm)",4.01964071856287
3KGK,"3-keto-L-gulonate kinase",0
METtex,"L-methionine transport via diffusion (extracellular to periplasm)",0
EX_cd2_e,"Cadmium exchange",0
F6PP,"D-fructose 6-phosphate phosphatase",0
NMNPtpp,"NMN permease (periplasm)",0
NO2t2rpp,"Nitrite transport in via proton symport, reversible (periplasm)",0
NO3t7pp,"Nitrate transport in via nitrite antiport (periplasm)",0
ORNabcpp,"Ornithine transport via ABC system (periplasm)",0
PIuabcpp,"Phosphate transport via ABC system (uptake, periplasm)",0
PNTOt4pp,"Pantothenate sodium symporter (periplasm)",0
METDabcpp,"D-methionine transport via ABC system (periplasm)",0
GDPMNH,"GDP-mannose mannosyl hydrolase",0
FACOAL60t2pp,"Fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling)",0
ILEabcpp,"L-isoleucine transport via ABC system (periplasm)",0
INDOLEt2pp,"Indole transport via proton symport, irreversible (periplasm)",1000
PROabcpp,"L-proline transport via ABC system (periplasm)",0
PROt2rpp,"L-proline reversible transport via proton symport (periplasm)",0
MNLtex,"Mannitol transport via diffusion (extracellular to periplasm)",0
PROt4pp,"Na+/Proline-L symporter (periplasm)",0
PTRCabcpp,"Putrescine transport via ABC system (periplasm)",0
LYXt2pp,"L-Lyxose transport via proton symport (periplasm)",0
GDPDPK,"GDP diphosphokinase",0
ASNNpp,"L-asparaginase",0
GLUNpp,"Glutaminase",0
G6Ptex,"Glucose 6-phosphate transport via diffusion (extracellular to periplasm)",0
NTD12,"5'-nucleotidase (dIMP)",0
TUNGSabcpp,"Tungstate transport via ABC system (periplasm)",0
NAtex,"Sodium transport via diffusion (extracellular to periplasm)",0
MOBDabcpp,"Molybdate transport via ABC system (periplasm)",0
MOBDtex,"Molybdate transport via diffusion (extracellular to periplasm)",0
NI2uabcpp,"Nickel transport via ABC system (uptake, periplasm)",0
FECRMtonex,"Ferrichrome transport via ton system (extracellular)",0
ARBTNtonex,"Aerobactin transport via ton system (extracellular)",0
ADOCBLabcpp,"Adenosylcobalamin transport via ABC system (periplasm)",0
EX_enter_e,"Enterochelin exchange",0
EX_fecrm_un_e,"Ferrichrome minus Fe(III) exchange",0
EX_cgly_e,"Cys-Gly exchange",0
NI2tex,"Nickel transport via diffusion (extracellular to periplasm)",0
NTD10pp,"5'-nucleotidase (XMP)",0
NTD1pp,"5'-nucleotidase (dUMP)",0
EX_chtbs_e,"Chitobiose exchange",0
EX_gmp_e,"GMP exchange",0
NTD2pp,"5'-nucleotidase (UMP)",0
NACtex,"Nicotinic acid transport via diffusion (extracellular to periplasm)",0
NTD3pp,"5'-nucleotidase (dCMP)",0
NTD4pp,"5'-nucleotidase (CMP)",0
NTD5pp,"5'-nucleotidase (dTMP)",0
EX_h2o2_e,"Hydrogen peroxide exchange",0
EX_ump_e,"UMP exchange",0
EX_pydam_e,"Pyridoxamine exchange",0
CRNabcpp,"L-carnitine transport via ABC system (periplasm)",0
CRNDabcpp,"D-carnitine transport via ABC system (periplasm)",0
DNTPPA,"Dihydroneopterin triphosphate pyrophosphatase",0
NTD6pp,"5'-nucleotidase (dAMP)",0
NTD7pp,"5'-nucleotidase (AMP)",0
CTBTabcpp,"Crotonobetaine transport via ABC system (periplasm)",0
NTD9pp,"5'-nucleotidase (GMP)",0
NH4tex,"Ammonia transport via diffusion (extracellular to periplasm)",4.01964071856287
GAL1PPpp,"D-galactose 1-phosphatase",0
NTPP9,"Nucleoside triphosphate pyrophosphorylase (itp)",0
NTPP10,"Nucleoside triphosphate pyrophosphorylase (ditp)",0
NTPP11,"Nucleoside triphosphate pyrophosphorylase (xtp)",0
H2O2tex,"Hydrogen peroxide transport via diffusion (external)",0
ARGDCpp,"Arginine decarboxylase",0
URIH,"Uridine hydrolase",0
ALLPI,"Allose 6-phosphate isomerase",0
ALLK,"Allose kinase",0
ALLULPE,"Allulose 6-phosphate epimerase",0
ADEtex,"Adenine transport via diffusion (extracellular to periplasm)",0
ADNtex,"Adenosine transport via diffusion (extracellular to periplasm)",0
NADPHQR2,"NADPH Quinone Reductase (Ubiquinone-8)",0
NADPHQR3,"NADPH Quinone Reductase (Menaquinone-8)",0
NADPHQR4,"NADPH Quinone Reductase (2-Demethylmenaquinone-8)",0
GLBRAN2,"1,4-alpha-glucan branching enzyme (glycogen -> bglycogen)",0
ASR,"Arsenate reductase",0
ASO3tex,"Arsenite transport via diffusion (extracellular to periplasm)",0
AGMtex,"Agmatine transport via diffusion (extracellular to periplasm)",0
ALAtex,"L-alanine transport via diffusion (extracellular to periplasm)",0
BALAtex,"Beta-alanine transport via diffusion (extracellular to periplasm)",0
DALAtex,"D-Alanine transport via diffusion (extracellular to periplasm)",0
MANGLYCtex,"2-O-alpha-mannosyl-D-glycerate transport via diffusion (extracellular to periplasm)",0
EX_frulys_e,"Fructoselysine exchange",0
AMPtex,"AMP transport via diffusion (extracellular to periplasm)",0
METOX1s,"Methionine oxidation (spontaneous)",0
XTSNH,"Xanthosine hydrolase",0
METOX2s,"Methionine oxidation 2 (spontaneous)",0
FRUURt2rpp,"D-fructuronate transport via proton symport, reversible (periplasm)",0
FRUURtex,"D-fructuronate transport via diffusion (extracellular)",0
ARBtex,"L-arabinose transport via diffusion (extracellular to periplasm)",0
ARGtex,"L-arginine transport via diffusion (extracellular to periplasm)",0
INSH,"Inosine hydrolase",0
ASCBtex,"L-ascorbate transport via diffusion (extracellular to periplasm)",0
FACOAL100t2pp,"Fatty-acid-CoA ligase (decanoate transport via vectoral Co-A coupling)",0
RIBabcpp,"D-ribose transport via ABC system (periplasm)",0
ECAtpp,"Enterobacterial common antigen transferase (flippase, cytoplasm to periplasm)",0
O16GLCT2,"Glucosyltransferase II (LPS O16 antigen biosynthesis)",0
GPDDA3pp,"Glycerophosphodiester phosphodiesterase (Glycerophosphoserine)",0
GPDDA4pp,"Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol)",0
GPDDA2pp,"Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)",0
FACOAL120t2pp,"Fatty-acid-CoA ligase (dodecanoate transport via vectoral Co-A coupling)",0
GLYCAt2rpp,"D-glycerate transport via proton symport, reversible (periplasm)",0
GLYCAtex,"D-glycerate transport via diffusion (extracellular to periplasm)",0
FACOAL140t2pp,"Fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling)",0
EX_enlipa_e,"Phosphoethanolamine KDO(2)-lipid (A) exchange",0
BUTtex,"Butyrate transport via diffusion (extracellular to periplasm)",0
EX_hacolipa_e,"Hepta-acylated core oligosaccharide lipid A (E. coli) exchange",0
AGM4PCP,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",0
4PCP,"Tetrapeptide L,D-carboxypeptidase",0
FE3HOXtonex,"Fe(III)hydroxamine transport via ton system (extracellular)",0
CU2abcpp,"Copper (Cu+2) ABC transporter (periplasm)",0
COBALT2abcpp,"Cobalt (Co+2) ABC transporter (periplasm)",0
NI2abcpp,"Nickle (Ni+2) ABC transporter (periplasm)",0
MG2uabcpp,"Magnesium (Mg+2) ABC transporter (ubtake, periplasm)",0
4PCPpp,"Tetrapeptide L,D-carboxypeptidase (periplasm)",0
FALDH2,"Formaldehyde dehydrogenase",0
CHLtex,"Choline transport via diffusion (extracellular to periplasm)",0
GLYBabcpp,"Glycine betaine transport via ABC system (periplasm)",0
GLYC3Pt6pp,"Glycerol-3-phosphate : phosphate antiporter (periplasm)",0
MMETtex,"S-methyl-L-methionine transport via diffusion (extracellular to periplasm)",0
FE3tex,"Iron (III) transport via diffusion (extracellular to periplasm)",0
MG2tex,"Magnesium (Mg+2) transport via diffusion (extracellular to periplasm)",0
Zn2tex,"Zinc (Zn+2) transport via diffusion (extracellular to periplasm)",0
CD2tex,"Cadmium (Cd+2) transport via diffusion (extracellular to periplasm)",0
GLYCLTt4pp,"Glycolate transport via sodium symport (periplasm)",1000
GLYCtpp,"Glycerol transport via channel (periplasm)",0
H2Otpp,"H2O transport via diffusion (periplasm)",-23.823233532934
GLNabcpp,"L-glutamine transport via ABC system (periplasm)",0
CO2tex,"CO2 transport via diffusion (extracellular to periplasm)",-3.72502994011984
GLUabcpp,"L-glutamate transport via ABC system (periplasm)",0
GLUABUTt7pp,"4-aminobutyrate/glutamate antiport (periplasm)",0
GLUt2rpp,"L-glutamate transport via proton symport, reversible (periplasm)",-1000
HISabcpp,"L-histidine transport via ABC system (periplasm)",0
HISt2rpp,"L-histidine reversible transport via proton symport (periplasm)",0
CBIAT,"Cobinamide adenyltransferase",0
GLUt4pp,"Na+/glutamate symport (periplasm)",1000
GLYALDtpp,"Glyceraldehyde facilitated diffusion (periplasm)",0
CRNtex,"L-carnitine transport via diffusion (extracellular to periplasm)",0
EX_etha_e,"Ethanolamine exchange",0
ACGK,"Acetylglutamate kinase",0
LYSabcpp,"L-lysine transport via ABC system (periplasm)",0
COBALT2tex,"Cobalt (Co+2) transport via diffusion (extracellular to periplasm)",0
LCTSt3ipp,"Lactose transport via proton aniport (periplasm)",0
PPK2,"Polyphosphate kinase",0
ARBt3ipp,"L-arabinose transport via proton antiport (periplasm)",0
14GLUCANabcpp,"1,4-alpha-D-glucan transport via ABC system (periplasm)",0
14GLUCANtexi,"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible",0
DINStex,"Deoxyinosine transport via diffusion (extracellular to periplasm)",0
DHPTPE,"Dihydroneopterin triphosphate 2'-epimerase",0
PPDOy,"Propane-1,2-diol:NADP+ 1-oxidoreductase",0
FALGTHLs,"Formaldehyde glutathione ligase (spontaneous)",0
NTD12pp,"5'-nucleotidase (dIMP) (periplasm)",0
PPA2,"Inorganic triphosphatase",0
DIMPtex,"DIMP transport via diffusion (extracellular to periplasm)",0
EX_hdca_e,"Hexadecanoate (n-C16:0) exchange",0
EX_glcr_e,"D-Glucarate exchange",0
GNK,"Gluconokinase",0
HMBS,"Hydroxymethylbilane synthase",0
3NTD7pp,"3'-nucleotidase (AMP) (periplasm)",0
DMStex,"Dimethyl sulfide transport via diffusion (extracellular to periplasm)",0
3NTD4pp,"3'-nucleotidase (CMP) (periplasm)",0
3NTD2pp,"3'-nucleotidase (UMP) (periplasm)",0
3NTD9pp,"3'-nucleotidase (GMP) (periplasm)",0
RMK,"Rhamnulokinase",0
FHL,"Formate-hydrogen lyase",0
HYPOE,"Hypothetical enyme",0
MEPCT,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase",0
GLUDy,"Glutamate dehydrogenase (NADP)",0
23PDE7pp,"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)",0
GALTptspp,"Galactitol transport via PEP:Pyr PTS (periplasm)",0
GALURt2rpp,"D-galacturonate transport via proton symport, reversible (periplasm)",0
ZN2abcpp,"Zinc (Zn+2) ABC transporter, efflux (periplasm)",0
CSNtex,"Cytosine transport via diffusion (extracellular to periplasm)",0
GLYCLTDy,"Glycolate dehydrogenase (NADP)",0
LYSDC,"Lysine decarboxylase",0
DAAD,"D-Amino acid dehydrogenase",0
GLCNt2rpp,"D-gluconate transport via proton symport, reversible (periplasm)",0
GLCptspp,"D-glucose transport via PEP:Pyr PTS (periplasm)",3.7250299401198
GLCRt2rpp,"D-glucarate transport via proton symport, reversible (periplasm)",0
GLCt2pp,"D-glucose transport in via proton symport (periplasm)",6.2749700598802
UREAtpp,"Urea transport via facilitate diffusion (periplasm)",0
XANt2pp,"Xanthine transport in via proton symport (periplasm)",0
GLYC3Pabcpp,"Sn-Glycerol 3-phosphate transport via ABC system (periplasm)",0
PPPNt2rpp,"3-phenylpropionate transport via proton symport, reversible (periplasm)",0
PTRCORNt7pp,"Putrescine/ornithine antiporter (periplasm)",1000
GLCURt2rpp,"D-glucuronate transport via proton symport, reversible (periplasm)",0
ACMUMptspp,"N-acetylmuramate transport via PEP:Pyr PTS (periplasm)",0
EX_h2o_e,"H2O exchange",23.823233532934
EX_ala__D_e,"D-Alanine exchange",0
HSTPT,"Histidinol-phosphate transaminase",0
SPMDabcpp,"Spermidine transport via ABC system (periplasm)",0
CYNTtex,"Cyanate transport via diffusion (extracellular to periplasm)",0
HG2tex,"Mercury (Hg+2) transport via diffusion (extracellular to periplasm)",0
NTPP5,"Nucleoside triphosphate pyrophosphorylase (datp)",0
THDPS,"Tetrahydrodipicolinate succinylase",0
ACONMT,"Trans-aconitate methyltransferase",0
XTSNtex,"Xanthosine transport via diffusion (extracellular to periplasm)",0
ATPM,"ATP maintenance requirement",6.86
CYStex,"L-cysteine transport via diffusion (extracellular to periplasm)",0
NADPPPS,"NADP phosphatase",0
EX_mnl_e,"D-Mannitol exchange",0
THRD_L,"L-threonine deaminase",0
EX_malt_e,"Maltose exchange",0
NTD3,"5'-nucleotidase (dCMP)",0
CYTDtex,"Cytidine transport via diffusion (extracellular to periplasm)",0
GLYOX,"Hydroxyacylglutathione hydrolase",0
DADNtex,"Deoxyadenosine transport via diffusion (extracellular to periplasm)",0
4PEPTtex,"LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm)",0
NAMNPP,"Nicotinic acid mononucleotide pyrophosphorylase",0
EX_pnto__R_e,"(R)-Pantothenate exchange",0
SELNPS,"Selenophosphate synthase",0
DHAtex,"Dihydroxyacetone transport via diffusion (extracellular to periplasm)",0
ETOHtex,"Ethanol transport via diffusion (extracellular to periplasm)",0
MTRPOX,"N-methyltryptophan oxidase",0
AGM4PCPpp,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase (periplasmic)",0
GTPDPDP,"Guanosine-5'-triphosphate,3'-diphosphate diphosphatase",0
CRNCAR,"Carnitine-CoA racemase",0
GALabcpp,"D-galactose transport via ABC system (periplasm)",0
GLYCLTt2rpp,"Glycolate transport via proton symport, reversible (periplasm)",-1000
GUAt2pp,"Guanine transport in via proton symport (periplasm)",0
RNDR2,"Ribonucleoside-diphosphate reductase (GDP)",0
EX_asn__L_e,"L-Asparagine exchange",0
ANHMK,"1,6-anhydrous-N-Acetylmuramate kinase",0
DCAtex,"Decanoate transport via diffusion (extracellular to periplasm)",0
DHFR,"Dihydrofolate reductase",0
EX_cit_e,"Citrate exchange",0
PRAIi,"Phosphoribosylanthranilate isomerase (irreversible)",0
EX_mal__L_e,"L-Malate exchange",0
NMNN,"NMN nucleosidase",0
XAND,"Xanthine dehydrogenase",0
EX_no2_e,"Nitrite exchange",0
