Reaction,ReactionName,Flux
GLUTRR,"Glutamyl-tRNA reductase",0
GLCS1,"Glycogen synthase (ADPGlc)",0
GLCP,"Glycogen phosphorylase",0
EX_din_e,"Deoxyinosine exchange",0
RBK_L1,"L-ribulokinase (L-ribulose)",0
RBP4E,"L-ribulose-phosphate 4-epimerase",0
TARTD,"L(+)-tartrate dehydratase",0
NTD2,"5'-nucleotidase (UMP)",0
GLCRAL,"5-dehydro-4-deoxyglucarate aldolase",0
NTD4,"5'-nucleotidase (CMP)",0
NTD5,"5'-nucleotidase (dTMP)",0
EX_fmn_e,"FMN exchange",0
EX_gthox_e,"Oxidized glutathione exchange",0
KAS14,"Beta-ketoacyl-ACP synthase",0
HEMEOS,"Heme O synthase",0
ADMDC,"Adenosylmethionine decarboxylase",0
AGMT,"Agmatinase",0
NTD6,"5'-nucleotidase (dAMP)",0
LGTHL,"Lactoylglutathione lyase",0
PYDXPP,"Pyridoxal 5-phosphate phosphatase",0
PDXPP,"Pyridoxine 5-phosphate phosphatase",0
ARGDC,"Arginine decarboxylase",0
HACD6,"3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)",0
ECOAH1,"3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)",0
ECOAH2,"3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)",0
ARGSS,"Argininosuccinate synthase",0
AGPR,"N-acetyl-g-glutamyl-phosphate reductase",0
SPMS,"Spermidine synthase",0
G1SAT,"Glutamate-1-semialdehyde aminotransferase",0
KDOCT2,"3-deoxy-manno-octulosonate cytidylyltransferase",0
ECOAH3,"3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)",0
UGLT,"UDPglucose--hexose-1-phosphate uridylyltransferase",0
EDTXS1,"Endotoxin Synthesis (lauroyl transferase)",0
DXPS,"1-deoxy-D-xylulose 5-phosphate synthase",0
OAADC,"Oxaloacetate decarboxylase",0
MNNH,"D-mannonate hydrolyase",0
CDPMEK,"4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase",0
EDTXS2,"Endotoxin Synthesis (myristoyl transferase)",0
ALTRH,"Altronate hydrolase",0
MECDPS,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",0
GUI1,"Glucuronate isomerase (D-glucuronate)",0
EDTXS3,"Endotoxin Synthesis (palmitoleoyl ACP)",0
PGAMT,"Phosphoglucosamine mutase",-4.01964071856287
DDGLK,"2-dehydro-3-deoxygluconokinase",0
EDTXS4,"Endotoxin Synthesis (myristoyl transferase)",0
XYLI2,"Xylose isomerase",6.27497005988016
PMANM,"Phosphomannomutase",0
ICL,"Isocitrate lyase",0
UAGDP,"UDP-N-acetylglucosamine diphosphorylase",4.01964071856283
UAGCVT,"UDP-N-acetylglucosamine 1-carboxyvinyltransferase",0
GLUR,"Glutamate racemase",0
EX_tmao_e,"Trimethylamine N-oxide exchange",0
UAG2E,"UDP-N-acetylglucosamine 2-epimerase",0
EX_acald_e,"Acetaldehyde exchange",0
GLYCL,"Glycine Cleavage System",0
CMPN,"CMP nucleosidase",0
NNDPR,"Nicotinate-nucleotide diphosphorylase (carboxylating)",0
EX_melib_e,"Melibiose exchange",0
MACPD,"Malonyl-ACP decarboxylase",0
DMQMT,"3-Dimethylubiquinonol 3-methyltransferase",0
UDPG4E,"UDPglucose 4-epimerase",0
LACZ,"B-galactosidase",0
TRE6PH,"Trehalose-6-phosphate hydrolase",0
XYLI1,"Xylose isomerase",0
PPC,"Phosphoenolpyruvate carboxylase",0
EX_sucr_e,"Sucrose exchange",0
ALDD4,"Aldehyde dehydrogenase (butanal, NAD)",0
HACD4,"3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)",0
G3PT,"Glycerol-3-phosphatase",0
EX_tre_e,"Trehalose exchange",0
EX_zn2_e,"Zinc exchange",0
HACD5,"3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)",0
HACD7,"3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)",0
CITL,"Citrate lyase",0
GOFUCR,"GDP-4-oxo-L-fucose reductase",0
PYDXK,"Pyridoxal kinase",0
DNMPPA,"Dihydroneopterin monophosphate dephosphorylase",0
HPPK2,"6-hydroxymethyl-dihydropterin pyrophosphokinase",0
PTPATi,"Pantetheine-phosphate adenylyltransferase",0
HEX7,"Hexokinase (D-fructose:ATP)",6.2749700598802
DXPRIi,"1-deoxy-D-xylulose reductoisomerase",0
GTPCII2,"GTP cyclohydrolase II (25drapp)",0
SADT2,"Sulfate adenyltransferase",0
OPHBDC,"Octaprenyl-hydroxybenzoate decarboxylase",0
AACPS1,"Acyl-[acyl-carrier-protein] synthetase (n-C14:0)",0
OHPHM,"2-octaprenyl-6-hydroxyphenol methylase",0
GHMT2r,"Glycine hydroxymethyltransferase, reversible",0
DHORD2,"Dihydoorotic acid dehydrogenase (quinone8)",0
LCARS,"Lacaldehyde reductase (S-propane-1,2-diol forming)",0
ALCD19,"Alcohol dehydrogenase (glycerol)",0
RMPA,"Rhamnulose-1-phosphate aldolase",0
SBTPD,"Sorbitol-6-phosphate dehydrogenase",0
PFK_2,"Phosphofructokinase",0
GLTPD,"Galactitol-1-phosphate dehydrogenase",0
EX_hdcea_e,"Hexadecenoate (n-C16:1) exchange",0
ACACCT,"Acetyl-CoA:acetoacetyl-CoA transferase",0
SDPDS,"Succinyl-diaminopimelate desuccinylase",0
BUTCT,"Acetyl-CoA:butyrate-CoA transferase",0
TGBPA,"Tagatose-bisphosphate aldolase",0
MANAO,"Mannonate oxidoreductase",0
TAGURr,"Tagaturonate reductase",0
DMSOR1,"Dimethyl sulfoxide reductase (Menaquinol 8)",0
PGLYCP,"Phosphoglycolate phosphatase",0
2DGULRx,"2-dehydro-L-gulonate reductase (NADH)",0
DKGLCNR2y,"2,5-diketo-D-gluconate reductase (NADPH)",0
G1PTT,"Glucose-1-phosphate thymidylyltransferase",0
TDPGDH,"DTDPglucose 4,6-dehydratase",0
ADCS,"4-amino-4-deoxychorismate synthase",0
ADCL,"4-aminobenzoate synthase",0
2DGULRy,"2-dehydro-L-gulonate reductase (NADPH)",0
DHAPT,"Dihydroxyacetone phosphotransferase",0
EX_lac__D_e,"D-lactate exchange",0
UMPK,"UMP kinase",0.294610778443143
RZ5PP,"Alpha-ribazole 5-phosphate phosphatase",0
DDPGALA,"2-dehydro-3-deoxy-6-phosphogalactonate aldolase",0
DURIK1,"Deoxyuridine kinase (ATP:Deoxyuridine)",0
G3PD6,"Glycerol-3-phosphate dehydrogenase (menaquinone-8)",0
ALLTN,"Allantoinase",0
UAPGR,"UDP-N-acetylenolpyruvoylglucosamine reductase",0
UPPRT,"Uracil phosphoribosyltransferase",0
NTD9,"5'-nucleotidase (GMP)",0
CTPS2,"CTP synthase (glutamine)",0
NTD1,"5'-nucleotidase (dUMP)",0.29461077844314
NTD7,"5'-nucleotidase (AMP)",0
PAPPT3,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",0
UAGPT3,"UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase",0
NDPK7,"Nucleoside-diphosphate kinase (ATP:dCDP)",0
AOBUTDs,"L-2-amino-3-oxobutanoate decarboxylation (spontaneous)",0
GLYAT,"Glycine C-acetyltransferase",0
ADNUC,"Adenosine hydrolase",0
GMHEPPA,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",0
S7PI,"Sedoheptulose 7-phosphate isomerase",0
TRPS3,"Tryptophan synthase (indoleglycerol phosphate)",0
EX_ttdcea_e,"Tetradecenoate (n-C14:1) exchange",0
F6PA,"Fructose 6-phosphate aldolase",0
AGMHE,"ADP-D-glycero-D-manno-heptose epimerase",0
CRNBTCT,"Gamma-butyrobetainyl-CoA: carnitine CoA transferase",0
CRNCBCT,"Crotonobetainyl-CoA: carnitine CoA transferase",0
NTD10,"5'-nucleotidase (XMP)",0
CRNCDH,"Carnityl-CoA dehydratse",0
GMHEPAT,"D-glycero-D-manno-hepose 1-phosphate adenyltransferase",0
EX_h2s_e,"Hydrogen sulfide exchange",0
ADPT,"Adenine phosphoribosyltransferase",0
EX_gthrd_e,"Reduced glutathione exchange",0
FADRx,"FAD reductase",0
GTPDPK,"GTP diphosphokinase",0
NADN,"NAD nucleosidase",0
GLYCLTDx,"Glycolate dehydrogenase (NAD)",0
ADK1,"Adenylate kinase",1000
NDPK2,"Nucleoside-diphosphate kinase (ATP:UDP)",8.33389221556877
NDPK3,"Nucleoside-diphosphate kinase (ATP:CDP)",0
HPYRRy,"Hydroxypyruvate reductase (NADPH)",0
NDPK4,"Nucleoside-diphosphate kinase (ATP:dTDP)",0
ACODA,"Acetylornithine deacetylase",0
ADA,"Adenosine deaminase",0
DADA,"Deoxyadenosine deaminase",0
ADD,"Adenine deaminase",0
FCLT,"Ferrochelatase",0
HBZOPT,"Hydroxybenzoate octaprenyltransferase",0
PNTK,"Pantothenate kinase",0
ADSS,"Adenylosuccinate synthase",0
AGDC,"N-acetylglucosamine-6-phosphate deacetylase",0
